Articles,Conf,Conflict_Path,Conflict_Wait,Conflicts,Moving_Steps,N_AGV,Time_Steps,Waiting_Gate
1958.0,BT1_A12,2179.0,38.0,2217.0,132878.0,A12,320070.0,183059.0
1958.0,BT1_A3,645.0,15.0,660.0,130064.0,A3,134050.0,0.0
1958.0,BT1_A6,1587.0,42.0,1629.0,131546.0,A6,170400.0,34748.0
1958.0,BT1_A9,1690.0,44.0,1734.0,132386.0,A9,242736.0,106215.0
1958.0,BT2_A12,2405.0,586.0,2991.0,133810.0,A12,229072.0,90380.0
1958.0,BT2_A3,488.0,47.0,535.0,130293.0,A3,146292.0,11946.0
1958.0,BT2_A6,1286.0,248.0,1534.0,131771.0,A6,182571.0,46409.0
1958.0,BT2_A9,1974.0,509.0,2483.0,133336.0,A9,262667.0,124572.0
1958.0,BT3_A12,9184.0,907.0,10091.0,135603.0,A12,141624.0,1010.0
1958.0,BT3_A3,1969.0,141.0,2110.0,129784.0,A3,133849.0,0.0
1958.0,BT3_A6,5133.0,453.0,5586.0,131833.0,A6,136243.0,14.0
1958.0,BT3_A9,7451.0,621.0,8072.0,133604.0,A9,138334.0,126.0
